gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
ABL1	0.999268397742384	7.70474754197231e-08	7.16034964220236e-06
ABL2	0.998982350820381	1.07156697713063e-07	9.95852775122731e-06
ABLIM1	0.999542812976934	4.81544999029966e-08	4.47520251990749e-06
ABLIM2	0.999175546537384	8.68219132806854e-08	8.06872973200028e-06
ABLIM3	0.999596750984084	4.24744744028239e-08	3.94733358797555e-06
ABO	0.999742923850307	2.70799732005224e-08	2.51665710473849e-06
ABR	0.987233657687637	1.33637300509325e-06	0.000124194828146424
ABRA	0.999721018225172	2.93871533304292e-08	2.73107316870009e-06
ABRACL	0.999818834367013	1.90844102921775e-08	1.77359543142481e-06
ABRAXAS1	0.999571337831284	4.51506840590981e-08	4.1960451356333e-06
ABRAXAS2	0.999210784138282	8.3112561196754e-08	7.72400386366662e-06
ABT1	0.998995813174105	1.05739847271853e-07	9.82685381260042e-06
ABTB1	0.997000282192989	3.1555190197539e-07	2.93255805734988e-05
ABTB2	0.999829537929614	1.79569681549858e-08	1.66881743760131e-06
AC001226.2	0.962272384753495	3.89969751057844e-06	0.000362415478540389
AC002069.1	0.996000180067977	4.20545791432603e-07	3.90831093531627e-05
AC002094.3	0.940635525319722	6.06852130775862e-06	0.000563973499949144
AC002310.4	NA	NA	NA
AC002985.1	0.887687616955567	1.11678621314658e-05	0.00103787693472869
AC002996.1	0.752846055034295	2.2820418111004e-05	0.00212079853059283
AC003002.1	0.99402790324669	6.27292855404025e-07	5.82969934871937e-05
AC003005.1	0.922809172093148	7.81833290669819e-06	0.000726590935343804
AC004076.1	0.943445113682084	5.78968170403492e-06	0.000538059749422235
AC004556.1	0.998475244955706	1.60513338108065e-07	1.49171873163878e-05
AC004691.2	0.804215772519446	1.86070897192874e-05	0.00172923600011715
AC004830.1	0.972226856503469	2.88532129653299e-06	0.000268145181924809
AC004832.3	0.800482105402211	1.89226927376129e-05	0.00175856633115052
AC004922.1	0.933417414979999	6.7810750849166e-06	0.000630194153585474
AC005041.1	0.998068495983318	2.03291051706577e-07	1.88927022127646e-05
AC005154.5	0.999897084520953	1.08417807890311e-08	1.00757280846223e-06
AC005324.4	0.92974932215231	7.14107658856512e-06	0.000663650624726151
AC005520.1	0.97630281255034	2.4669626109511e-06	0.000229265329622059
AC005551.1	0.991842248432275	8.55928899326216e-07	7.95451136413518e-05
AC005670.2	0.363723344068626	4.5707191792011e-05	0.0042477637665753
AC005697.1	0.571212370711947	3.54886445188389e-05	0.00329811069990836
AC005722.2	0.999525687479717	4.99578628423799e-08	4.64279670917107e-06
AC005774.1	0.998803910615887	1.25934899832034e-07	1.17036659545403e-05
AC005837.3	0.971095920274993	3.00109110963251e-06	0.000278904163128141
AC005943.1	0.793712153033958	1.94912040732301e-05	0.00181140050795382
AC006030.1	0.949210232873483	5.21491433882573e-06	0.000484644173176479
AC006254.1	0.995137736448731	5.11003239343478e-07	4.74897047835091e-05
AC007040.2	0.986721182731298	1.38966011111191e-06	0.0001291470255862
AC007192.1	0.84704352958761	1.48818615141047e-05	0.00138303469630034
AC007240.1	0.998388365102376	1.69651939960248e-07	1.57664764611136e-05
AC007241.1	0.71885323964395	2.54556479063105e-05	0.00236570164544704
AC007325.2	0.999639080848861	3.80166476845588e-08	3.53304878794486e-06
AC007325.4	0.999008664610355	1.04387275254747e-07	9.70115354135891e-06
AC007326.4	0.47009524016362	4.10351066780188e-05	0.00381356702239814
AC007375.1	0.243897841129204	4.95424485404822e-05	0.00460419049096918
AC007448.1	0.999955062155195	4.73417984617879e-09	4.39967471783383e-07
AC007688.1	0.840736331238733	1.544260542221e-05	0.0014351470130232
AC007956.1	0.999658434780047	3.59783909137449e-08	3.34362491571403e-06
AC008073.3	0.955468789696369	4.58698861758095e-06	0.000426288364774563
AC008403.1	0.618184851371862	3.25456958246075e-05	0.00302460995877486
AC008481.3	NA	NA	NA
AC008676.3	0.999986169238072	1.45708662900565e-09	1.35413258719022e-07
AC008687.4	0.983849258843808	1.68777053689899e-06	0.000156851695583407
AC008695.1	NA	NA	NA
