gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AC002456.1	NA	NA	NA
AC002456.2	NA	NA	NA
AC002460.1	NA	NA	NA
AC002463.1	NA	NA	NA
AC002464.1	NA	NA	NA
AC002465.1	NA	NA	NA
AC002467.1	NA	NA	NA
AC002470.1	NA	NA	NA
AC002472.1	NA	NA	NA
AC002472.2	NA	NA	NA
AC002472.3	NA	NA	NA
AC002472.4	NA	NA	NA
AC002480.1	NA	NA	NA
AC002480.2	NA	NA	NA
AC002480.3	NA	NA	NA
AC002480.4	NA	NA	NA
AC002486.1	NA	NA	NA
AC002486.2	NA	NA	NA
AC002487.1	NA	NA	NA
AC002504.1	NA	NA	NA
AC002511.1	NA	NA	NA
AC002511.2	NA	NA	NA
AC002511.3	NA	NA	NA
AC002519.1	NA	NA	NA
AC002519.2	NA	NA	NA
AC002524.1	NA	NA	NA
AC002525.1	NA	NA	NA
AC002540.1	NA	NA	NA
AC002542.1	NA	NA	NA
AC002543.1	NA	NA	NA
AC002545.1	NA	NA	NA
AC002546.1	NA	NA	NA
AC002546.2	NA	NA	NA
AC002550.1	NA	NA	NA
AC002550.2	NA	NA	NA
AC002551.1	NA	NA	NA
AC002553.1	NA	NA	NA
AC002553.2	NA	NA	NA
AC002553.3	NA	NA	NA
AC002553.4	NA	NA	NA
AC002558.1	NA	NA	NA
AC002558.2	NA	NA	NA
AC002558.3	NA	NA	NA
AC002563.1	NA	NA	NA
AC002984.1	NA	NA	NA
AC002985.1	NA	NA	NA
AC002985.2	NA	NA	NA
AC002996.1	NA	NA	NA
AC003001.1	NA	NA	NA
AC003001.2	NA	NA	NA
AC003002.1	NA	NA	NA
AC003002.2	NA	NA	NA
AC003002.3	NA	NA	NA
AC003002.4	NA	NA	NA
AC003005.1	NA	NA	NA
AC003005.2	NA	NA	NA
AC003006.1	NA	NA	NA
AC003009.1	NA	NA	NA
AC003029.1	NA	NA	NA
AC003035.1	NA	NA	NA
AC003035.2	NA	NA	NA
AC003043.1	NA	NA	NA
AC003045.1	NA	NA	NA
AC003070.1	NA	NA	NA
AC003070.2	NA	NA	NA
AC003071.1	NA	NA	NA
AC003071.2	NA	NA	NA
AC003072.1	NA	NA	NA
AC003075.1	NA	NA	NA
AC003080.1	NA	NA	NA
AC003084.1	NA	NA	NA
AC003087.1	NA	NA	NA
