gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AARSP1	0.999678727737103	1.1340935424502e-08	1.82063598468034e-06
AASDH	0.994509256175081	1.93322613015221e-07	3.10353681361694e-05
AASDHPPT	0.999698924575203	1.06280928396705e-08	1.70619861132639e-06
AASS	0.999689189471823	1.09716927900306e-08	1.76135900247089e-06
AATBC	0.999961787979441	1.34907818387372e-09	2.16576516466282e-07
AATF	0.996663830423289	1.17589484641594e-07	1.88774240523377e-05
AATK	0.998515744098141	5.23638749494378e-08	8.40632200623208e-06
AATK-AS1	0.990409353292364	3.36981233423977e-07	5.4097844381351e-05
AB015752.1	0.970008866950649	1.04298118269167e-06	0.000167436723821774
ABALON	0.998104181851107	6.68698307324726e-08	1.07350598133195e-05
ABAT	0.999734792927192	9.36209240968901e-09	1.50295912065217e-06
ABBA01000935.2	0.88793439309859	3.73486289988419e-06	0.000599582445261593
ABBA01006766.1	0.999970652691399	1.03611347155986e-09	1.66334204360112e-07
ABBA01006766.2	0.999967101158619	1.16149908959899e-09	1.86463193691118e-07
ABBA01031660.1	0.960707237963684	1.36000570053998e-06	0.00021833078358104
ABBA01031661.1	0.87197116647841	4.23079870128303e-06	0.000679198326343789
ABBA01031663.1	0.978430154051919	7.53326395317364e-07	0.000120936509395965
ABBA01031674.1	0.914605648579314	2.88618322953701e-06	0.000463338238812585
ABBA01040607.1	0.999933131929692	2.36074829256292e-09	3.78986664797226e-07
ABCA1	0.999768609067722	8.16848472659885e-09	1.31134132034886e-06
ABCA10	0.99970302476759	1.04833757684421e-08	1.68296621491342e-06
ABCA11P	0.999383633328162	2.17545797874902e-08	3.49240775210953e-06
ABCA12	0.999977911132704	7.79855364258098e-10	1.25195381674315e-07
ABCA13	0.998913663210407	3.83331000488372e-08	6.15386815469232e-06
ABCA17P	0.993561996602268	2.26566849804324e-07	3.63722871394035e-05
ABCA2	0.997418472486039	9.10251155136567e-08	1.46128687458888e-05
ABCA3	0.999743703792496	9.04756968050236e-09	1.4524666897086e-06
ABCA4	0.999503235037467	1.75343021754986e-08	2.81489844638398e-06
ABCA5	0.999689320410204	1.096707134912e-08	1.76061709174589e-06
ABCA6	0.999542053839292	1.61644295779281e-08	2.59498366403048e-06
ABCA7	0.998655559390166	4.7434573137891e-08	7.61498831800184e-06
